English;Turkish
remark;açýklama
unfold;açmak
somersault;takla
limb;uzuv
yawn;esnemek
nibbl;kemirmek
crouch;çömelmek
solace;teselli
chimney;baca
ceiling;tavan
spite;kin
demonstration;gösteri
contradict;yalanlamak
carcass;leþ
provoke;kýþkýrtmak
impulse;dürtü
contrary;aksine
clumsily;beceriksizce
lair;sýðýnak
hesitation;tereddüt
reputation;itibar
prevent;önlemek
tyrant;zalim
endured;katlanmak
incident;olay
tingle;karýncalanmak
vain;boþuna
wager;bahis
apploud;alkýþlamak
stratch;çizik
partry;kiler
tidy;düzenli
amazement;þaþkýnlýk
braid;örgü
hire;kiralamak
sincere;içten
carpet;halý
ambitious;hýrslý
